Number of Data points,Accuracy
0,0.930446549
1,0.872056834
2,0.832949932
3,0.995331529
4,0.994181326
5,0.99729364
6,0.996075778
7,0.997564276
8,0.997090663
9,0.996346414
10,0.997631935
11,0.997564276
12,0.99797023
13,0.997631935
14,0.997631935
15,0.997699594
16,0.999255751
17,0.999120433
18,0.999120433
19,0.998917456
20,0.998714479
21,0.998849797
22,0.998985115
23,0.998849797
24,0.998849797
25,0.998782138
26,0.998782138
27,0.998714479
28,0.998849797
29,0.99864682
30,0.998714479
31,0.99864682
32,0.999052774
33,0.999188092
34,0.998782138
35,0.999052774
36,0.999120433
37,0.998917456
38,0.999255751
39,0.999188092
40,0.999120433
41,0.999188092
42,0.999255751
43,0.999255751
44,0.999052774
45,0.999120433
46,0.999120433
47,0.999052774
48,0.999052774
49,0.999120433
50,0.999120433
51,0.999052774
52,0.999188092
53,0.999120433
54,0.999188092
55,0.999255751
56,0.999255751
57,0.999120433
58,0.99932341
59,0.998917456
60,0.999255751
61,0.999458728
62,0.999391069
63,0.999255751
64,0.999255751
65,0.999391069
66,0.999391069
67,0.99932341
68,0.999255751
69,0.999255751
70,0.99932341
71,0.99932341
72,0.99932341
73,0.99932341
74,0.99932341
75,0.999255751
76,0.999391069
77,0.999391069
78,0.99932341
79,0.99932341
80,0.999458728
81,0.999458728
82,0.999526387
83,0.999458728
84,0.999458728
85,0.999391069
86,0.999458728
87,0.999458728
88,0.999255751
89,0.99932341
90,0.99932341
91,0.99932341
92,0.99932341
93,0.999391069
94,0.999391069
95,0.999391069
96,0.999391069
97,0.999458728
98,0.999391069
99,0.999391069
100,0.99932341
101,0.99932341
102,0.99932341
103,0.99932341
104,0.999391069
105,0.999391069
106,0.999391069
107,0.999391069
108,0.999391069
109,0.999391069
110,0.999458728
111,0.999458728
112,0.999458728
113,0.999458728
114,0.999391069
115,0.999391069
116,0.999391069
117,0.999391069
118,0.999391069
119,0.999391069
120,0.999391069
121,0.999458728
122,0.999458728
123,0.999458728
124,0.999391069
125,0.999458728
126,0.999255751
127,0.99932341
128,0.999391069
129,0.999391069
130,0.999391069
131,0.99932341
132,0.99932341
133,0.999391069
134,0.99932341
135,0.99932341
136,0.99932341
137,0.999188092
138,0.999188092
139,0.999188092
140,0.999188092
141,0.999188092
142,0.999188092
143,0.999188092
144,0.99932341
145,0.99932341
146,0.999188092
147,0.999188092
148,0.999188092
149,0.99932341
150,0.99932341
151,0.999391069
152,0.999255751
153,0.99932341
154,0.99932341
155,0.999458728
156,0.999391069
157,0.999391069
158,0.99932341
159,0.999391069
160,0.99932341
161,0.99932341
162,0.99932341
163,0.999255751
164,0.999188092
165,0.999188092
166,0.999255751
167,0.999255751
168,0.999255751
169,0.999188092
170,0.999188092
171,0.999188092
172,0.999188092
173,0.999255751
174,0.999188092
175,0.999120433
176,0.999120433
177,0.999120433
178,0.999120433
