Number of Data points,Accuracy
0,0.7068335588633288
1,0.7046684709066305
2,0.7111637347767253
3,0.8294316644113667
4,0.8338971583220568
5,0.8313937753721244
6,0.8322733423545332
7,0.8256427604871448
8,0.8283491204330176
9,0.826319350473613
10,0.8265223274695535
11,0.8267253044654939
12,0.8290933694181326
13,0.8293640054127199
14,0.8281461434370772
15,0.6666441136671177
16,0.9131258457374831
17,0.8953991880920162
18,0.8993234100135318
19,0.9344384303112314
20,0.9470230040595399
21,0.9577807848443843
22,0.9778755074424899
23,0.9776725304465493
24,0.984979702300406
25,0.9878890392422193
26,0.987618403247632
27,0.9853856562922869
28,0.9899864682002706
29,0.9929634641407307
30,0.9937753721244925
31,0.9941136671177266
32,0.9944519621109608
33,0.9907983761840324
34,0.9948579161028417
35,0.9949255751014885
36,0.9933017591339648
37,0.9836265223274695
38,0.9920162381596752
39,0.9956021650879567
40,0.9949932341001353
41,0.9959404600811907
42,0.9978349120433018
43,0.963531799729364
44,0.963531799729364
45,0.963531799729364
46,0.9653585926928282
47,0.9663734776725305
48,0.9675913396481732
49,0.9688768606224628
50,0.9696211096075779
51,0.9696211096075779
52,0.9698917456021651
53,0.9709066305818674
54,0.9707713125845737
55,0.971447902571042
56,0.9740189445196211
57,0.9730040595399189
58,0.9738159675236806
59,0.9460081190798376
60,0.9709742895805142
61,0.9817320703653586
62,0.987618403247632
63,0.9908660351826793
64,0.9940460081190798
65,0.993978349120433
66,0.9945872801082544
67,0.9957374830852503
68,0.9958051420838971
69,0.9974966170500676
70,0.9979702300405954
71,0.9976995940460082
72,0.9976319350473613
73,0.9978349120433018
74,0.9985115020297699
75,0.9983761840324763
76,0.9989851150202977
77,0.9983761840324763
78,0.9985115020297699
79,0.9991204330175913
80,0.9989851150202977
81,0.9993910690121787
82,0.9993234100135318
83,0.9991204330175913
84,0.999255751014885
85,0.999255751014885
86,0.9993234100135318
87,0.9993910690121787
88,0.9993910690121787
89,0.9993910690121787
90,0.9995263870094723
91,0.9995940460081191
92,0.9995940460081191
93,0.9996617050067659
94,0.9995940460081191
95,0.9995263870094723
96,0.9995940460081191
97,0.9991204330175913
98,0.9984438430311231
99,0.9995263870094723
100,0.9995940460081191
101,0.9998646820027064
102,0.9999323410013532
103,0.9996617050067659
104,0.9996617050067659
105,0.9998646820027064
106,0.9998646820027064
107,0.9999323410013532
108,0.9998646820027064
109,0.9999323410013532
110,0.9999323410013532
111,0.9999323410013532
112,0.9999323410013532
113,0.9999323410013532
114,0.9999323410013532
115,0.9998646820027064
116,0.9998646820027064
117,0.9999323410013532
118,0.9999323410013532
119,0.9999323410013532
120,0.9999323410013532
121,0.9998646820027064
122,0.9999323410013532
123,0.9999323410013532
124,1.0
125,1.0
126,1.0
127,0.9999323410013532
128,0.9999323410013532
129,1.0
130,1.0
131,0.9999323410013532
132,0.9999323410013532
133,0.9999323410013532
134,0.9999323410013532
135,0.9999323410013532
136,0.9999323410013532
137,0.9999323410013532
138,0.9999323410013532
139,0.9999323410013532
140,0.9998646820027064
141,0.9998646820027064
142,0.9999323410013532
143,0.9999323410013532
144,0.9999323410013532
145,0.9999323410013532
146,0.9999323410013532
147,0.9999323410013532
148,0.9999323410013532
149,0.9999323410013532
150,0.9999323410013532
151,0.9998646820027064
152,0.9998646820027064
153,0.9998646820027064
154,0.9998646820027064
155,0.9999323410013532
156,0.9998646820027064
157,0.9998646820027064
158,0.9998646820027064
159,0.9999323410013532
160,0.9999323410013532
161,0.9999323410013532
162,0.9998646820027064
163,0.9998646820027064
164,0.9999323410013532
165,0.9999323410013532
166,0.9999323410013532
167,0.9999323410013532
168,0.9999323410013532
169,0.9998646820027064
170,0.9998646820027064
171,0.9998646820027064
172,0.9997970230040596
173,0.9997970230040596
174,0.9997970230040596
175,0.9998646820027064
176,0.9999323410013532
177,0.9999323410013532
178,0.9999323410013532
179,0.9999323410013532
180,0.9999323410013532
181,0.9999323410013532
182,0.9998646820027064
183,0.9999323410013532
184,0.9999323410013532
185,0.9999323410013532
186,0.9999323410013532
187,0.9998646820027064
188,0.9998646820027064
189,0.9999323410013532
190,0.9998646820027064
191,0.9999323410013532
192,0.9999323410013532
193,0.9999323410013532
194,0.9998646820027064
195,0.9999323410013532
196,0.9998646820027064
197,0.9999323410013532
198,0.9997970230040596
199,0.9997293640054127
200,0.9997970230040596
201,0.9997293640054127
202,0.9999323410013532
203,0.9998646820027064
204,0.9997970230040596
205,0.9998646820027064
206,0.9997293640054127
207,0.9997293640054127
208,0.9997293640054127
209,0.9997970230040596
210,0.9998646820027064
211,0.9998646820027064
212,0.9998646820027064
213,0.9999323410013532
214,0.9997970230040596
215,0.9998646820027064
216,0.9998646820027064
217,0.9998646820027064
218,0.9998646820027064
219,0.9998646820027064
220,0.9999323410013532
221,0.9998646820027064
222,0.9998646820027064
223,0.9997970230040596
224,0.9997970230040596
225,0.9997970230040596
226,0.9997970230040596
227,0.9997970230040596
228,0.9998646820027064
229,0.9998646820027064
230,0.9998646820027064
231,0.9998646820027064
232,0.9998646820027064
233,0.9998646820027064
234,0.9998646820027064
235,0.9999323410013532
236,0.9999323410013532
237,0.9998646820027064
238,0.9998646820027064
239,0.9999323410013532
240,0.9999323410013532
241,0.9997970230040596
242,0.9999323410013532
243,0.9998646820027064
244,0.9998646820027064
245,0.9997970230040596
246,0.9997970230040596
247,0.9997293640054127
248,0.9997293640054127
249,0.9997970230040596
250,0.9997970230040596
251,0.9997293640054127
252,0.9997970230040596
253,0.9997970230040596
254,0.9997970230040596
255,0.9998646820027064
256,0.9997970230040596
257,0.9997970230040596
258,0.9997970230040596
259,0.9997970230040596
260,0.9998646820027064
261,0.9997970230040596
262,0.9997970230040596
263,0.9997970230040596
264,0.9997970230040596
265,0.9997293640054127
266,0.9997293640054127
267,0.9997970230040596
268,0.9998646820027064
269,0.9997970230040596
270,0.9997970230040596
271,0.9997970230040596
272,0.9998646820027064
273,0.9997970230040596
274,0.9997970230040596
275,0.9997970230040596
276,0.9997970230040596
277,0.9997970230040596
278,0.9997970230040596
279,0.9997970230040596
280,0.9997970230040596
281,0.9997970230040596
282,0.9997293640054127
283,0.9997293640054127
284,0.9997293640054127
285,0.9997293640054127
286,0.9997293640054127
287,0.9997970230040596
288,0.9997970230040596
289,0.9997970230040596
290,0.9997970230040596
291,0.9997970230040596
292,0.9997970230040596
293,0.9997970230040596
294,0.9997970230040596
295,0.9997293640054127
296,0.9997293640054127
297,0.9997293640054127
298,0.9997293640054127
299,0.9997293640054127
300,0.9997293640054127
301,0.9996617050067659
302,0.9997293640054127
303,0.9997970230040596
304,0.9997293640054127
305,0.9997293640054127
306,0.9997970230040596
307,0.9997293640054127
308,0.9997293640054127
309,0.9997293640054127
310,0.9997970230040596
311,0.9997293640054127
312,0.9996617050067659
313,0.9997293640054127
314,0.9996617050067659
315,0.9996617050067659
316,0.9996617050067659
317,0.9997293640054127
318,0.9997293640054127
319,0.9997293640054127
320,0.9997293640054127
321,0.9997293640054127
322,0.9997970230040596
323,0.9998646820027064
324,0.9998646820027064
325,0.9998646820027064
326,0.9997970230040596
327,0.9998646820027064
328,0.9997970230040596
329,0.9997970230040596
330,0.9997970230040596
331,0.9997970230040596
