Number of Data points,Accuracy
0,0.930446549391069
1,0.9978349120433018
2,0.9927604871447903
3,0.961299052774019
4,0.9271312584573749
5,0.9024357239512856
6,0.7776725304465494
7,0.7372801082543978
8,0.6373477672530447
9,0.611299052774019
10,0.5999323410013532
11,0.5820703653585927
12,0.5480378890392422
13,0.5463464140730717
14,0.5430987821380243
15,0.539106901217862
16,0.5355209742895806
17,0.5332205683355886
18,0.5331529093369418
19,0.9228687415426252
20,0.9029093369418133
21,0.8887686062246278
22,0.8742895805142084
23,0.9663058186738837
24,0.9638700947225981
25,0.9590663058186739
26,0.9562246278755074
27,0.9795669824086604
28,0.9786197564276049
29,0.9762516914749662
30,0.9751691474966171
31,0.9855886332882273
32,0.9847767253044655
33,0.9837618403247632
34,0.9827469553450608
35,0.989851150202977
36,0.9892422192151556
37,0.9889715832205683
38,0.9884979702300406
39,0.9878213802435724
40,0.9907983761840324
41,0.990595399188092
42,0.9902571041948579
43,0.9899188092016238
44,0.9928281461434371
45,0.9925575101488497
46,0.9922192151556157
47,0.9921515561569689
48,0.9918809201623816
49,0.9930311231393776
50,0.9928958051420839
51,0.9927604871447903
52,0.9926251691474967
53,0.9922192151556157
54,0.993234100135318
55,0.9930987821380244
56,0.9929634641407307
57,0.9939106901217862
58,0.9936400541271989
59,0.9934370771312585
60,0.9933694181326116
61,0.9944519621109608
62,0.9942489851150202
63,0.9942489851150202
64,0.9940460081190798
65,0.993978349120433
66,0.9944519621109608
67,0.9943166441136672
68,0.9941136671177266
69,0.993978349120433
70,0.995128552097429
71,0.9949932341001353
72,0.9948579161028417
73,0.9946549391069012
74,0.9958051420838971
75,0.9956021650879567
76,0.9952638700947226
77,0.9951962110960758
78,0.995466847090663
79,0.9953315290933694
80,0.9952638700947226
81,0.9953991880920162
82,0.9953991880920162
83,0.9953315290933694
84,0.9959404600811907
85,0.995872801082544
86,0.9958051420838971
87,0.9964140730717186
88,0.9963464140730717
89,0.9962787550744249
90,0.9962110960757781
91,0.9961434370771313
92,0.9966847090663058
93,0.9966847090663058
94,0.9964817320703654
95,0.9965493910690122
96,0.9964817320703654
97,0.9964817320703654
98,0.9963464140730717
99,0.9962787550744249
100,0.9963464140730717
101,0.9961434370771313
102,0.9964817320703654
103,0.9964817320703654
104,0.9964140730717186
105,0.9962110960757781
106,0.9968876860622463
107,0.9968876860622463
108,0.9968200270635995
109,0.9968200270635995
110,0.9970230040595399
111,0.9969553450608931
112,0.9968876860622463
113,0.9968876860622463
114,0.9970906630581867
115,0.9970906630581867
116,0.9970230040595399
117,0.9969553450608931
118,0.9969553450608931
119,0.9969553450608931
120,0.9969553450608931
121,0.9969553450608931
122,0.9969553450608931
123,0.9969553450608931
124,0.9970230040595399
125,0.9970230040595399
126,0.9970230040595399
127,0.9969553450608931
128,0.9970230040595399
129,0.9970230040595399
130,0.9970230040595399
131,0.9970906630581867
132,0.9970230040595399
133,0.9970230040595399
134,0.9970230040595399
135,0.9970230040595399
136,0.9970906630581867
137,0.9970906630581867
138,0.9970230040595399
139,0.9970230040595399
140,0.9972259810554803
141,0.9972259810554803
142,0.9972259810554803
143,0.9972936400541272
144,0.9971583220568335
145,0.9971583220568335
146,0.9971583220568335
147,0.9971583220568335
148,0.9971583220568335
149,0.9971583220568335
150,0.9970906630581867
151,0.9970906630581867
152,0.9970906630581867
153,0.9971583220568335
154,0.9971583220568335
155,0.9971583220568335
156,0.9970906630581867
157,0.9970906630581867
158,0.9970906630581867
159,0.9975642760487144
160,0.9974966170500676
161,0.9974289580514208
162,0.9972936400541272
163,0.9972936400541272
164,0.9972259810554803
165,0.9972259810554803
166,0.9972259810554803
167,0.9972259810554803
168,0.997361299052774
169,0.9972936400541272
170,0.9972259810554803
171,0.9972936400541272
172,0.9972936400541272
173,0.9972259810554803
174,0.997361299052774
175,0.997361299052774
176,0.997361299052774
177,0.997361299052774
178,0.997361299052774
179,0.997361299052774
180,0.997361299052774
181,0.997361299052774
182,0.997361299052774
183,0.997361299052774
184,0.997361299052774
185,0.9976995940460082
186,0.9976995940460082
187,0.9976995940460082
188,0.9976995940460082
189,0.9976319350473613
190,0.9976319350473613
191,0.9975642760487144
192,0.9974966170500676
193,0.9976995940460082
194,0.9975642760487144
195,0.9975642760487144
196,0.9974966170500676
